Name,M1,M2,M3,Support,Temperature,Ar_flow,CH4_flow,O2_flow,C2y
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,7,2.571428571,0.428571429,7.972861375
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,750,3,13.6,3.4,7.919042113
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,1.5,5.666666667,2.833333333,7.912966641
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,750,4,4.8,1.2,7.591650208
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,6,6,3,7.590688215
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,10.5,3.857142857,0.642857143,7.557100148
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,750,6,7.2,1.8,7.530058002
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,2.25,10.2,2.55,7.42732834
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,750,7,2.4,0.6,7.367887664
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,8,8,4,7.342331517
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,750,2.25,8.5,4.25,7.340496095
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,750,1.5,5.666666667,2.833333333,7.080638487
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,10.5,3.6,0.9,7.03710134
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,2.25,8.5,4.25,7.00571207
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,14,5.142857143,0.857142857,6.993151615
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,4,4,2,6.985379491
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,750,2.25,10.2,2.55,6.893985827
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,3,11.33333333,5.666666667,6.82161347
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,1.5,7.285714286,1.214285714,6.753555916
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,750,10.5,3.857142857,0.642857143,6.587091675
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,1.5,6.8,1.7,6.578711893
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,750,8,10.28571429,1.714285714,6.502271004
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,1.5,5.666666667,2.833333333,6.420730785
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,14,4.8,1.2,6.368671986
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,750,1.5,6.8,1.7,6.348335665
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,8,9.6,2.4,6.16946686
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,750,6,7.714285714,1.285714286,6.043943678
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,750,3,14.57142857,2.428571429,6.03322524
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,8,10.28571429,1.714285714,5.943107953
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,750,2.25,10.92857143,1.821428571,5.743521126
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,750,1.5,7.285714286,1.214285714,5.707759166
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,14,4,2,5.622206935
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,3,11.33333333,5.666666667,5.621398358
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,3,14.57142857,2.428571429,5.577074354
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,3,13.6,3.4,5.568209305
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,750,4,5.142857143,0.857142857,5.525256764
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,7,2.4,0.6,5.478644883
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,6,6,3,5.364556318
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,8,8,4,5.206387138
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,2.25,10.92857143,1.821428571,5.193150351
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,6,7.714285714,1.285714286,5.157851432
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,6,7.2,1.8,5.056500099
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,2.25,10.2,2.55,4.858903344
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,900,6,6,3,4.780231908
