support,promoters,formula,predicted_max_yield,ensemble_std,nn_distance,min_element_support,tier
Ba,Cs+Mo+Sr,Ba(90.0) Cs(3.33) Mo(3.33) Sr(3.33),17.857,0.08,2.089,67,IN_SUPPORT
Ba,Cs+Mo+Zn,Ba(90.0) Cs(3.33) Mo(3.33) Zn(3.33),17.84,0.104,2.09,111,IN_SUPPORT
Ba,W+Cs+Fe,Ba(90.0) W(3.33) Cs(3.33) Fe(3.33),17.826,0.161,3.033,96,IN_SUPPORT
Ba,W+Zr+Ti,Ba(90.0) W(3.33) Zr(3.33) Ti(3.33),17.826,0.109,0.225,135,IN_SUPPORT
Ba,Fe+Eu+Sr,Ba(90.0) Fe(3.33) Eu(3.33) Sr(3.33),17.819,0.221,4.191,67,IN_SUPPORT
Ba,Mo+Y,Ba(93.3) Mo(3.33) Y(3.33),17.809,0.141,2.439,84,IN_SUPPORT
Ba,Fe+La+Eu,Ba(90.0) Fe(3.33) La(3.33) Eu(3.33),17.809,0.194,2.435,74,IN_SUPPORT
Ba,W+Fe+Zr,Ba(90.0) W(3.33) Fe(3.33) Zr(3.33),17.802,0.155,2.293,96,IN_SUPPORT
Ba,Mo+Y+Sr,Ba(90.0) Mo(3.33) Y(3.33) Sr(3.33),17.8,0.157,3.337,67,IN_SUPPORT
Ba,Zn+Fe+La,Ba(90.0) Zn(3.33) Fe(3.33) La(3.33),17.794,0.175,0.158,96,IN_SUPPORT
Ba,Mo+Zn+Nd,Ba(90.0) Mo(3.33) Zn(3.33) Nd(3.33),17.793,0.15,3.114,83,IN_SUPPORT
Ba,Mo+Mg+La,Ba(90.0) Mo(3.33) Mg(3.33) La(3.33),17.792,0.19,0.297,121,IN_SUPPORT
Ba,Mo+Fe+K,Ba(90.0) Mo(3.33) Fe(3.33) K(3.33),17.79,0.111,2.969,95,IN_SUPPORT
Ba,Fe+Eu,Ba(93.3) Fe(3.33) Eu(3.33),17.784,0.066,2.434,74,IN_SUPPORT
Ba,Cs+Mo+Y,Ba(90.0) Cs(3.33) Mo(3.33) Y(3.33),17.784,0.105,2.434,84,IN_SUPPORT
Ba,Mo+Eu+Ti,Ba(90.0) Mo(3.33) Eu(3.33) Ti(3.33),17.773,0.144,0.156,74,IN_SUPPORT
Ba,W+La+Zr,Ba(90.0) W(3.33) La(3.33) Zr(3.33),17.772,0.168,0.226,135,IN_SUPPORT
Ba,Mo+Zn+Mg,Ba(90.0) Mo(3.33) Zn(3.33) Mg(3.33),17.768,0.134,0.177,111,IN_SUPPORT
Ba,W+Zn+Eu,Ba(90.0) W(3.33) Zn(3.33) Eu(3.33),17.756,0.093,2.55,74,IN_SUPPORT
Ba,Mo+Li+Zn,Ba(90.0) Mo(3.33) Li(3.33) Zn(3.33),17.754,0.084,2.493,111,IN_SUPPORT
Ba,W+Mo+Zn,Ba(90.0) W(3.33) Mo(3.33) Zn(3.33),17.751,0.111,2.288,111,IN_SUPPORT
Ba,Cs+Fe+Eu,Ba(90.0) Cs(3.33) Fe(3.33) Eu(3.33),17.751,0.149,3.035,74,IN_SUPPORT
Ba,Mo+Zn+K,Ba(90.0) Mo(3.33) Zn(3.33) K(3.33),17.725,0.076,2.437,95,IN_SUPPORT
Ba,W+Y+Ti,Ba(90.0) W(3.33) Y(3.33) Ti(3.33),17.712,0.134,2.294,84,IN_SUPPORT
Ba,W+Mo+La,Ba(90.0) W(3.33) Mo(3.33) La(3.33),17.683,0.195,2.09,121,IN_SUPPORT
Ba,Cs+Mo+K,Ba(90.0) Cs(3.33) Mo(3.33) K(3.33),17.681,0.068,2.09,95,IN_SUPPORT
Ba,W+Sr+Ti,Ba(90.0) W(3.33) Sr(3.33) Ti(3.33),17.675,0.133,2.294,67,IN_SUPPORT
Ba,Mo+La+Ti,Ba(90.0) Mo(3.33) La(3.33) Ti(3.33),17.671,0.117,0.283,121,IN_SUPPORT
Ba,Fe+La+Zr,Ba(90.0) Fe(3.33) La(3.33) Zr(3.33),17.669,0.179,0.141,96,IN_SUPPORT
Ba,Zn+Fe+Y,Ba(90.0) Zn(3.33) Fe(3.33) Y(3.33),17.665,0.122,3.338,84,IN_SUPPORT
Ba,W+Na+Ti,Ba(90.0) W(3.33) Na(3.33) Ti(3.33),17.658,0.157,2.289,80,IN_SUPPORT
Ba,Zn+Fe+Sr,Ba(90.0) Zn(3.33) Fe(3.33) Sr(3.33),17.655,0.176,3.415,67,IN_SUPPORT
Ba,W+Mo+Zr,Ba(90.0) W(3.33) Mo(3.33) Zr(3.33),17.655,0.143,2.09,121,IN_SUPPORT
Ba,Mo+Zn+Tb,Ba(90.0) Mo(3.33) Zn(3.33) Tb(3.33),17.653,0.168,2.548,75,IN_SUPPORT
Ba,Mo+Na,Ba(93.3) Mo(3.33) Na(3.33),17.645,0.065,2.089,80,IN_SUPPORT
Ba,Fe+Y+Eu,Ba(90.0) Fe(3.33) Y(3.33) Eu(3.33),17.644,0.182,3.924,74,IN_SUPPORT
Ba,Cs+Zn+Fe,Ba(90.0) Cs(3.33) Zn(3.33) Fe(3.33),17.643,0.11,2.09,96,IN_SUPPORT
Ba,Mo+Y+Na,Ba(90.0) Mo(3.33) Y(3.33) Na(3.33),17.638,0.187,3.338,80,IN_SUPPORT
Ba,W+Nd+Ti,Ba(90.0) W(3.33) Nd(3.33) Ti(3.33),17.625,0.063,2.297,83,IN_SUPPORT
Ba,Mo+Nd,Ba(93.3) Mo(3.33) Nd(3.33),17.619,0.15,2.439,83,IN_SUPPORT
Ba,Mo+Zn+Zr,Ba(90.0) Mo(3.33) Zn(3.33) Zr(3.33),17.617,0.126,0.156,111,IN_SUPPORT
Ba,Mo+Ce+La,Ba(90.0) Mo(3.33) Ce(3.33) La(3.33),17.612,0.21,0.311,121,IN_SUPPORT
Ba,Fe+Y+La,Ba(90.0) Fe(3.33) Y(3.33) La(3.33),17.599,0.151,3.038,84,IN_SUPPORT
Ba,Mo+Li+Y,Ba(90.0) Mo(3.33) Li(3.33) Y(3.33),17.594,0.11,3.337,84,IN_SUPPORT
Ba,W+Mo+Na,Ba(90.0) W(3.33) Mo(3.33) Na(3.33),17.594,0.16,3.095,80,IN_SUPPORT
Ba,W+Mo+Y,Ba(90.0) W(3.33) Mo(3.33) Y(3.33),17.578,0.171,3.341,84,IN_SUPPORT
Ba,Fe+Tb+Eu,Ba(90.0) Fe(3.33) Tb(3.33) Eu(3.33),17.576,0.182,4.036,74,IN_SUPPORT
Ba,Mo+Eu+Ca,Ba(90.0) Mo(3.33) Eu(3.33) Ca(3.33),17.573,0.183,0.161,74,IN_SUPPORT
Ba,Fe+La+Sr,Ba(90.0) Fe(3.33) La(3.33) Sr(3.33),17.568,0.188,3.033,67,IN_SUPPORT
Ba,Mo+Mg+Sr,Ba(90.0) Mo(3.33) Mg(3.33) Sr(3.33),17.565,0.164,0.164,67,IN_SUPPORT
Ba,W+Na+Eu,Ba(90.0) W(3.33) Na(3.33) Eu(3.33),17.541,0.168,2.915,74,IN_SUPPORT
Ba,Cs+Mo,Ba(93.3) Cs(3.33) Mo(3.33),17.54,0.143,0.137,121,IN_SUPPORT
Ba,Mo+Li+Sr,Ba(90.0) Mo(3.33) Li(3.33) Sr(3.33),17.534,0.109,2.492,67,IN_SUPPORT
Ba,Cs+Mo+La,Ba(90.0) Cs(3.33) Mo(3.33) La(3.33),17.53,0.217,0.153,121,IN_SUPPORT
Ba,Zn+Fe+Zr,Ba(90.0) Zn(3.33) Fe(3.33) Zr(3.33),17.529,0.133,0.161,96,IN_SUPPORT
Ba,Mo+Nd+Sr,Ba(90.0) Mo(3.33) Nd(3.33) Sr(3.33),17.526,0.105,3.113,67,IN_SUPPORT
Ba,W+Ti,Ba(93.3) W(3.33) Ti(3.33),17.524,0.114,0.178,135,IN_SUPPORT
Ba,Cs+Fe+Ti,Ba(90.0) Cs(3.33) Fe(3.33) Ti(3.33),17.519,0.105,2.09,96,IN_SUPPORT
Ba,Fe+Nd+Eu,Ba(90.0) Fe(3.33) Nd(3.33) Eu(3.33),17.51,0.132,3.059,74,IN_SUPPORT
Ba,Mo+K+Na,Ba(90.0) Mo(3.33) K(3.33) Na(3.33),17.506,0.113,2.438,80,IN_SUPPORT
Ba,W+Fe+Y,Ba(90.0) W(3.33) Fe(3.33) Y(3.33),17.501,0.188,3.8,84,IN_SUPPORT
Ba,Zn+Eu+Sr,Ba(90.0) Zn(3.33) Eu(3.33) Sr(3.33),17.5,0.135,3.981,67,IN_SUPPORT
Ba,Zn+Fe,Ba(93.3) Zn(3.33) Fe(3.33),17.497,0.096,0.137,96,IN_SUPPORT
Ba,Zn+Eu,Ba(93.3) Zn(3.33) Eu(3.33),17.484,0.124,2.554,74,IN_SUPPORT
Ba,Mo+Y+Mg,Ba(90.0) Mo(3.33) Y(3.33) Mg(3.33),17.482,0.141,2.435,84,IN_SUPPORT
Ba,W+Mo,Ba(93.3) W(3.33) Mo(3.33),17.478,0.126,2.089,121,IN_SUPPORT
Ba,Fe+Na+Eu,Ba(90.0) Fe(3.33) Na(3.33) Eu(3.33),17.474,0.178,3.061,74,IN_SUPPORT
Ba,Zn+Fe+Nd,Ba(90.0) Zn(3.33) Fe(3.33) Nd(3.33),17.472,0.106,2.548,83,IN_SUPPORT
Ba,W+Zn+Zr,Ba(90.0) W(3.33) Zn(3.33) Zr(3.33),17.471,0.092,2.554,111,IN_SUPPORT
Ba,Zn+La+Eu,Ba(90.0) Zn(3.33) La(3.33) Eu(3.33),17.47,0.175,2.554,74,IN_SUPPORT
Ba,W+Eu+Zr,Ba(90.0) W(3.33) Eu(3.33) Zr(3.33),17.469,0.07,0.19,74,IN_SUPPORT
Ba,W+Fe+La,Ba(90.0) W(3.33) Fe(3.33) La(3.33),17.469,0.221,2.287,96,IN_SUPPORT
Ba,Y+La+Zr,Ba(90.0) Y(3.33) La(3.33) Zr(3.33),17.466,0.131,0.158,84,IN_SUPPORT
Ba,Zn+La+Zr,Ba(90.0) Zn(3.33) La(3.33) Zr(3.33),17.461,0.139,2.44,111,IN_SUPPORT
Ba,W+K+Eu,Ba(90.0) W(3.33) K(3.33) Eu(3.33),17.46,0.121,2.971,74,IN_SUPPORT
Ba,La+Eu+Sr,Ba(90.0) La(3.33) Eu(3.33) Sr(3.33),17.442,0.158,3.059,67,IN_SUPPORT
Ba,W+La+Eu,Ba(90.0) W(3.33) La(3.33) Eu(3.33),17.436,0.163,0.188,74,IN_SUPPORT
Ba,Mo+Ti,Ba(93.3) Mo(3.33) Ti(3.33),17.432,0.15,0.219,121,IN_SUPPORT
